item_id,title,short_description,long_description,predictions,unitsOfMeasure,last_updated_at
27652877,Burberry The Beat By Burberry Edt . 15 Oz Mini,"EDT , 15 OZ MINI Design House: Burberry Year Introduced: 2008 Fragrance Notes: Vetiver Bourbon Violet Leaves Accord Leatherwood Black Pepper Cedrat,","EDT , 15 OZ MINI Design House: Burberry Year Introduced: 2008 Fragrance Notes: Vetiver Bourbon Violet Leaves Accord Leatherwood Black Pepper Cedrat SKU: FN189946",None,,1469540172121
150983117,Gigi Night Firming Facial Moisturizer Dark Honey Complex & Vitamin E 2 oz. (Pack of 2),Hair Removal Products you will love! Safe & Effective,Hair Removal Products you will love! Safe & Effective,None,,1477010495262
45274602,Emerald Lotion Soap DIA84050,Formulated with added skin conditioners to moisturize and help keep hands feeling soft. Refreshingly rich lather and pleasant fragrance. Perfect for any commercial setting. Soap Type: Lotion Application: Hand Capacity Volume: 1 Liters Scent: Lavender.,Formulated with added skin conditioners to moisturize and help keep hands feeling soft. Refreshingly rich lather and pleasant fragrance. Perfect for any commercial setting. Soap Type: Lotion Application: Hand Capacity Volume: 1 Liters Scent: Lavender.,lavender,,1476407053672
162922950,Kind Soap Co. - ManKind All Purpose Gel - 16 oz.,"Kind Soap Co. ManKind All Purpose Gel - 16 oz.  One bottle in the shower does it all - Kind Soap Co. ManKind All Purpose Gel takes care of a man's body from head-to-toe: scalp and hair follicle stimulation to athlete's foot prevention. With a peppermint and tea tree oil blend, Kind Soap Co. ManKind All Purpose Gel smells great too!  Natural Skincare for Men - Easy. Clean. Masculine.The term \""men like easy\"" is a bit loaded, but they're talking about the morning routine here, so it definitely applies. How about one bar (or bottle) in the shower to do everything you need? Shower, shampoo and shave with just one product - and not just any product, a great one!  Kind Soap Co. find that most men like to feel \""squeaky clean\"" - not slimy - after they shower, and because most don't use a body lotion in their daily \""skin care\"" routine, these products are perfect for men. They leave their skin feeling squeaky clean, but impart ample amounts of moisture to prevent dry skin.  They've also found men","Kind Soap Co. ManKind All Purpose Gel - 16 oz.  One bottle in the shower does it all - Kind Soap Co. ManKind All Purpose Gel takes care of a man's body from head-to-toe: scalp and hair follicle stimulation to athlete's foot prevention. With a peppermint and tea tree oil blend, Kind Soap Co. ManKind All Purpose Gel smells great too!  Natural Skincare for Men - Easy. Clean. Masculine.The term \""men like easy\"" is a bit loaded, but they're talking about the morning routine here, so it definitely",None,,1477491801154
31212945,Clarifying Therapy Cleanser Aubrey Organics 3.4 oz Container,Clarifying Therapy Cleanser by Aubrey Organics 3.4 oz Container Clarifying Therapy Cleanser 3.4 oz Container All-Natural Preservative Systems Deep-cleanse pores and rebalances oily skin to prevent breakouts and blemishes. Free Of 1 Salicylic Acid Acne Treatment Oily Acne Prone Skin Directions Shake Well Before Using. Pump onto hands and work gently over face avoiding eye area. Rinse well. Follow with Clarifying Therapy Toner. Other Ingredients Active Ingredient Salicylic acid 1 (acne treatment). Inactive Ingredients Aqua decyl glucoside glycerin salix nigra (willow) bark extract citric acid xanthan gum chenopodium quinoa seed extract aloe barbadensis leaf juice leuconostoc radish root ferment filtrate alcohol alcohol denat. (38b lavender) vitis vinifera (grape) seed extract buchu leaf oil cinnamomum camphora (camphor) bark oil citrus aurantium bergamia (bergamot) fruit oil citrus aurantium dulcis (orange) peel oil citrus grandis (grapefruit) peel oil citrus limon (lemon) peel oil (ter,"Clarifying Therapy Cleanser 3.4 oz Container<p>All-Natural Preservative Systems Deep-cleanse pores and rebalances oily skin to prevent breakouts and blemishes. Free Of</p><ul><li>1% Salicylic Acid</li><li>Acne Treatment</li><li>Oily / Acne Prone Skin</li></ul><br><p><b>Directions</b> Shake Well Before Using. Pump onto hands and work gently over face, avoiding eye area. Rinse well. Follow with Clarifying Therapy Toner.</p><br><p><b>Other Ingredients: </b>Active Ingredient: Salicylic acid 1% (acne treatment). Inactive Ingredients: Aqua, decyl glucoside, glycerin, salix nigra (willow) bark extract, citric acid, xanthan gum, chenopodium quinoa seed extract*, aloe barbadensis leaf juice*, leuconostoc/radish root ferment filtrate, alcohol*, alcohol denat. (38b, lavender), vitis vinifera (grape) seed extract, buchu leaf oil, cinnamomum camphora (camphor) bark oil, citrus aurantium bergamia (bergamot) fruit oil, citrus aurantium dulcis (orange) peel oil, citrus grandis (grapefruit) peel oil, citrus limon (lemon) peel oil (terpenes), eugenia caryophyllus (clove) leaf oil, juniperous virginiana oil, litsea cubeba fruit oil, mentha piperita (peppermint) oil, mentha viridis (spearmint) leaf oil, andira araroba (goa), alcohol, aphanizomenon flos-aquae powder*, silybum marianum extract, arctium lappa root extract, avena sativa (oat) straw extract, saponaria officinalis extract, citrus medica limonum (lemon) peel extract, salvia officinalis (sage) leaf extract. *Organic</p><br><p><b>Warnings: </b>Keep out of reach of children. As with all dietary supplements, consult your healthcare professional before use. See product label for more information. For external use only. Using other acne medications at the same time or immediately following the use of this product may increase dryness or irritation of the skin. If this occurs, only one drug should be used unless directed by a doctor. Avoid direct contact with eyes. If contact occurs, flush thoroughly with water. If swallowed, get medical help or contact a Poison Control Center right away.</p><br>",None,,1475874417804
101998034,Hugo Boss - Hugo XX Eau De Toilette Spray - 2 oz,"A fruity floral for women with top notes of mandarin, blueberry and litchi, heart notes of jasmine and rose. The warm base is created of sensual musk and amber.","A fruity floral for women with top notes of mandarin, blueberry and litchi, heart notes of jasmine and rose. The warm base is created of sensual musk and amber.",None,,1473679284992
39857390,Princess & The Frog Tiana Eau de Toilette Spray 1.7-Oz,Princess & The Frog Tiana Eau de Toilette Spray 1.7-Oz,<ul><li>Launched By The Design House Of Air Val International . Princess & The Frog Tiana Edt Spray 1.7 Oz  For Women </ul>,None,,1477021244444
34042064,Gendarme 10 oz Gendarme,short description is not available,"Gendarme by Gendarme Cologne for Men was created in 1991 by the house of Gendarme,  The fragrance is informally sensual, yet suitable for business,  Specifically driven to be assertive, made for the man who has his own unique style,  The un-official fragrance of California,  Luxurious,  Soft,  Clean, ,  Design House - Gendarme ,  Scent Name - Gendarme,  Fragrance Family - Fresh,  Fragrance Notes - Citrus, Verbena, Herbal, Jasmine, Thyme, Hint of Leather, ,  Gender - Men,  Type - EDC Spray,  Item weight - 10 oz SKU: PWW24291",None,,1470927337756
118126457,Weleda Stretch Mark Massage Oil - 3.4 fl oz,Weleda Stretch Mark Massage Oil - 3.4 fl oz,"This skin softening oil is ideal to massage deeply into your belly, thighs, buttocks, and breasts to support healthy skin growth and prevent stretch marks. Made with vitamin rich wheat germ oil, nourishing omega-6 fat rich almond oil, and moisturizing sterol rich jojoba seed oil.",None,,1477101023298
45867794,Compostable Cleaning Wipes COX30380CT,"99% naturally derived cleaning wipes cut through grease, grime and dirt on a wide variety of surfaces including non-wood floors, counters, sinks, stoves, garbage cans and toilets. Wood-based fibers, combined with plant-based ingredients, deliver cleaning wipes that are compostable in home and municipality conditions. These multi-surface wipes are ideal for use in schools, offices, restaurants, day care centers and other commercial facilities. Towel/Wipe Type: Cleaner/Detergent Wet Wipe Application: Bathrooms Gyms Hospitals Kitchens Offices Schools Day Care Centers Applicable Material: Acrylic Ceramic Chrome Fiberglass Glass Metal Plastic Tile Vinyl Wood Materials: Non-Woven Cellulose Fiber. Green : Made using plant- and mineral-based substances.","99% naturally derived cleaning wipes cut through grease, grime and dirt on a wide variety of surfaces including non-wood floors, counters, sinks, stoves, garbage cans and toilets. Wood-based fibers, combined with plant-based ingredients, deliver cleaning wipes that are compostable in home and municipality conditions. These multi-surface wipes are ideal for use in schools, offices, restaurants, day care centers and other commercial facilities. Towel/Wipe Type: Cleaner/Detergent Wet Wipe Application: Bathrooms Gyms Hospitals Kitchens Offices Schools Day Care Centers Applicable Material: Acrylic Ceramic Chrome Fiberglass Glass Metal Plastic Tile Vinyl Wood Materials: Non-Woven Cellulose Fiber. Green : Made using plant- and mineral-based substances.",None,,1476406862200
162888967,Carolina Herrera - 212 Sexy Men Eau De Toilette Spray - 100ml/3.4oz,short description is not available,Carolina Herrera - 212 Sexy Men Eau De Toilette Spray - 100ml/3.4oz,None,,1476478630483
43057348,"ELMASONIC 800 0073 Gentle Cleaner, 10L, Dilute 50x","Gentle Cleaner, 10L, Dilute 50x","Gentle Cleaner, 10L, Dilute 50x, For Use With Ultrasonics Cleaner, Case Quantity 1 <br><b>Features</b><ul><li>Case Quantity: 1</li><li>Item: Gentle Cleaner</li><li>Size: 10L</li><li>Dilution Ratio: 50x</li></ul>",None,,1477522894393
51383570,Eucerin Intensive Repair Very Dry Skin Lotion 5 oz (Pack of 3),<li>Pack of 3</li>,"<li><b>Pack of 3</b> for the UPC: 072140012090</li>Help provide serious relief for very dry, rough skin with an enriched lotion specially formulated to help intensively moisturize and repair. This rich formula with buffered alpha hydroxy and special moisturizing ingredients helps to gently exfoliate and intensively moisturize, promoting smoother, healthier-looking skin.&nbsp; Specially formulated to intensely moisturize and repair. Improves the appearance of dry and rough skin. Non irritating.&nbsp;This lotion is ideal for sensitive skin and is highly recommended by dermatologists.<li> Patented Formula Combines a Moisturizer Naturally Found in the Skin with Alpha Hydroxy to Help Intensively Hydrate &amp; Smooth Skin </li><li> Gently Exfoliates to Promote the Appearance of Dry, Rough Skin </li><li> Fragrance Free, Helps Avoid Clogging Pores </li><li> I mproves the appearance of dry and rough skin </li><li> N on irritating </li><li> T his lotion is ideal for sensitive skin </li> Ingredients: Water, Mineral Oil, PEG 7 Hydrogenated Castor Oil, Isohexadecane, Sodium Lactate, Urea Glycerin, Isopropyl Palmitate, Panthenol, Microcrystalline Wax, Magnesium Sulfate, Lanolin Alcohol, Bisabolol, Methylchloroisothiazolinone, Methylisothiazolinone",None,,1476523561807
147136923,Just 4 U :-X by Lulu Castagnette for Women 3.3 oz Eau de Toilette Spray,Just 4 U :-X by Lulu Castagnette for Women,"<p>Just 4 U :-X is a delicate and powdery fragrance written around the cherry. Its fruity and floral notes are enhanced by Sandalwood, Amber and Musk, which linger like a romantic memory. A fragrance as enchanting as a kiss.</p>",None,,1469643998133
28563556,Moschino Funny,Moschino Funny by Moschino for Women - 25 ml EDT Spray,"A floral fruit launched in 2007. It features notes of red currants, spicy orange, pink pepper, green tea, jasmine, peony, violet, cedar, amber and musk.",None,,1477547652388
168145311,Star Wars Boba Fett Helmet Air Freshener,Star Wars Boba Fett Helmet Air Freshener,Star Wars Boba Fett Helmet Air Freshener,None,,1475416445888
25461211,Porsche Design The Essence for Men 1.7 oz Eau de Toilette Spray,Porsche Design The Essence for Men - 1.7 oz Eau de Toilette Spray,A fresh clean fragrance for men with notes of Juniper and Blueberry. The heart of the fragrance is Coriander and Pine tree to give it a woody aroma followed by a musky essence at the base of Patchouli and Incense.,fresh clean,,1476851410795
30253330,"Febreze NOTICEables Frosted Pine Scented Oil Air Freshener Refills, 0.87 fl oz, 2 count","<p>Febreze NOTICEables is a convenient and inventive way to permanently eliminate underlying odors, such as mustiness and pet smells, while releasing waves of warm, subtle fragrance. Febreze NOTICEables Frosted Pine Scented Oil Air Freshener Refills contain Glistening Pine and Apple Spice scents. Febreze NOTICEables eliminates odors and freshens for 30 days. It's designed with dual-scent chambers that alternate throughout the day, so you never stop noticing the freshness. Just plug it into any outlet to begin permanently eliminating odors and releasing waves of warm, subtle fragrance. It's the perfect way to keep your home guest-ready and noticeably fresh. The innovative warmer alternates between two complementary scents, great for removing common background odors from living rooms, bedrooms, kitchens, and more.</p>","<B>Febreze NOTICEables Frosted Pine Scented Oil Air Freshener Refills:</b><ul><li>Febreze NOTICEables eliminates odors and freshens for 30 days<li>Contains Glistening Pine and Apple Spice scents<li>Simply plug it into any outlet for a season of holiday freshness<li>Alternates between two complementary scents, so your nose never stops noticing them<li>Great for removing common background odors from living rooms, bedrooms, kitchens, and more</ul>",None,,1477584648839
44606594,Neutrogena Pore Refining Exfoliating Cleanser 6.70 oz (Pack of 3),<li>Free Shipping</li><li>Pack of 3</li>,"<li><b>Pack of 3</b> for the UPC: 070501056202</li> <br/> Dermatologist recommended. Active Ingredients: Water; Decyl Polyglucose; Cetyl Alcohol; Glycol Distearate; Sodium Laureth-13 Carboxylate; Cocamide MEA; Disodium Lauryl Sulfosuccinate; Polyethylene; Cocamidopropyl Betaine; Sodium Methyl Cocoyl Taurate; Salicylic Acid; Glycolic Acid; Polyquaternium-11; Linoleamidopropyl PG Dimonium Chloride Phosphate; Sodium PCA; PEG-150 Pentaerythrityl Tetrastearate; Hydroxypropyl Guar; Disodium EDTA; BHT; Fragrance Uses: Visibly reduces the appearance or pores and refines skin to be clear, smooth and more even toned. This effective alpha and beta hydroxy formula works with gentle microbeads to deliver visible results. First, it sweeps away dead surface skin and smoothes over rough, uneven patches. Then it penetrates deep into pores to visibly reduce their appearance for clearer-looking skin. Used daily, this cleanser leaves skin clear, smooth, and more even toned with less visible pores. Clean-rinsing. Non-comedogenic. Soap-free. Dermatologist tested.",None,,1477548635691
48599521,"Michael Jordan Jordan Drive EDT Spray, 3.4 oz","<p>Launched by the design house of Michael Jordan. This woody fragrance has a blend of grapefruit, Italian lemon, ocean breeze, amberwood, musk, and lush oakmoss notes.</p>","<B>Michael Jordan Jordan Drive EDT Spray, 3.4 oz:</b><ul><li>Introduced by the design house of Michael Jordan<li>Recommended for Evening wear</ul>",woody,,1477090887060
45811994,"TOUGH GUY 116439 Glass Cleaner, 32 oz., 1:40","Glass Cleaner,32 oz.,1:40","Glass Cleaner, 32 oz., Net Weight 2.3 oz., Color Blue, Contains Non-Ammoniated Formula, For Use On Glass, Mirrors, Chrome, Plastic, Stainless Steel, Fragrance Characteristic, Container Type Bottle, Recommended Dilution 1:40, RTU Yield per Container 10 gal., Standards UL <br><b>Features</b><ul><li>Case Quantity: 1</li><li>Color: Blue</li><li>Container Type: Bottle</li><li>For Use On: Glass, Mirrors, Chrome, Plastic, Stainless Steel</li><li>Item: Glass Cleaner</li><li>Size: 32 oz.</li><li>Contains: Non-Ammoniated Formula</li><li>Fragrance: Characteristic</li><li>Recommended Dilution: 1:40</li><li>Standards: UL</li><li>Net Weight: 2.3 oz.</li><li>RTU Yield per Container: 10 gal.</li></ul>",None,,1477522914771
45292745,Green Plus Bathroom Tissue BWK40GREEN,"Manufactured of recycled materials. Embossed with a floral design for added softness. Tissue Type: Toilet Number of Plies: 1 Number of Sheets: 500 per roll Length: 3 3/4&quot;. Green : Contains a minimum of 25% post-consumer recycled content, 100% total recycled content.","Manufactured of recycled materials. Embossed with a floral design for added softness. Tissue Type: Toilet Number of Plies: 1 Number of Sheets: 500 per roll Length: 3 3/4&quot;. Green : Contains a minimum of 25% post-consumer recycled content, 100% total recycled content.",None,,1435590341262
166173274,"Birch Bark - Salve Ointment (2 oz, ZIN: 512713)","Apply Bianca Rosa salve morning and evenings, or as directed by a health care practitioner. On a moist cotton wool pad or with the fingertips, apply to the desired area of the body. Massage onto thoroughly cleansed skin with a gentle circular motion. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible st - Birch Bark - Salve Ointment (2 oz, ZIN: 512713): Birch Bark - Salve Ointment","Apply Bianca Rosa salve morning and evenings, or as directed by a health care practitioner. On a moist cotton wool pad or with the fingertips, apply to the desired area of the body. Massage onto thoroughly cleansed skin with a gentle circular motion. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible st - Birch Bark - Salve Ointment (2 oz, ZIN: 512713): Birch Bark - Salve Ointment",None,,1475340754905
46237884,Eucerin Professional Repair Extremely Dry Skin Lotion 6.8 oz (Pack of 3),<li>Pack of 3</li>,"<li><b>Pack of 3</b> for the UPC: 072140008857</li> <br/> Gluco-Glycerol Enhanced Formula <br/> Unique concentrated formula with clinically proven moisturizers alleviates extremely dry skin. <br/> Fragrance free <br/> Alleviate and repair extremely dry skin with a unique concentrated formula with clinically proven moisturizers. <br/> This advanced, concentrated lotion combines Ceramide 3, skin's own moisturizers, and Gluco-Glycerol to improved the condition of your skin and fight extreme dryness. <br/> <li> Dermatologist recommended brand </li><br/><li> Moisture rich formula, yet lightweight and fast absorbing </li><br/><li> Strengthens the skin's barrier to lock-in moisture </li><br/><li> Improves moisture reserves to help prevent dryness from recurring for healthy looking skin </li><br/><li> Fragrance-free, won't clog pores </li> Ingredients: Water (Aqua), Urea, Glycerin, Isopropyl Stearate, Dicaprylyl Ether, Glyceryl Glucoside, Sodium Lactate, Butyrospermum Parkii (Shea) Butter, Nylon 12, Polyglyceryl 4 Diisostearate/Polyhydroxystearate/Sebacate, Cetearyl Alcohol, Arginine HCl, Sodium PCA, Lactic Acid, Carnitine, Mannitol, Serine, Sucrose, Citrulline, Glycogen, Histidine HCL, Ceramide 3, Alanine, Threonine, Glutamic Acid, Lysine HCl, Sodium Chloride, 1,2 Hexanediol, Phenoxyethanol, Potassium Sorbate",None,,1469626075094
174250770,U By Kotex Maxi Pads Regular Unscented - 8 pks of 24,Breathable with a touch of natural cotton.,"<h1>U By Kotex Maxi Pads Regular Unscented</h1> <p>Breathable with a touch of natural cotton. Gentle cover with a hint of aloe and vitamin E. Free of artificial scents or fragrances. Dual-layer core absorbs fluid quickly and locks it deep in the pad leaving you feeling clean, dry and protected. Aligned with your skin's natural pH (pH range of 4.0 to 6.5)</p>",unscented,,1477526692499
50452021,"WERTH SANITARY SUPPLY 1100800 Heavy Duty Degreaser,1 gal,PK4 G0552006","WERTH SANITARY SUPPLY 1100800 Heavy Duty Degreaser,1 gal,PK4 G0552006, Cleaner Degreaser, Container Type Bottle, Size 1 gal., Net Weight 128 oz., Recommended Dilution Varies By Application, Fragrance Unscented, VOC Content 0.03, Flash Point Greater Than 212 Degrees F, Package Quantity 4","Cleaner Degreaser, Container Type Bottle, Size 1 gal., Net Weight 128 oz., Recommended Dilution Varies By Application, Fragrance Unscented, VOC Content 0.03, Flash Point Greater Than 212 Degrees F, Package Quantity 4 <br><b>Features</b><ul><li>Container Type: Bottle</li><li>Item: Cleaner Degreaser</li><li>Size: 1 gal.</li><li>Fragrance: Unscented</li><li>Recommended Dilution: Varies By Application</li><li>VOC Content: 0.03</li><li>Sub-Category: Degreasers</li><li>Net Weight: 128 oz.</li><li>Green Certification or Other Recognition: Safer Choice, Meets U.S. EPA Safer Product Standards</li><li>Flash Point: Greater Than 212 Degrees F</li></ul>",None,,1477535720212
31170113,Citrus Ginger Hand Wash Skin by Ann Webb 8 oz Gel,Citrus Ginger Hand Wash by Skin by Ann Webb 8 oz Gel Citrus Ginger Hand Wash 8 oz Gel About Skin By Ann Webb Anns passion for developing optimal skin care began at an early age. Her own struggles with cystic acne were the driving force behind her passion for finding a solution to heal and develop beautiful skin. Ann traveled far beyond her small town of Gueydan Louisiana to research and educate herself about every type of skin treatment available. She discovered that most treatment protocols were limited to a topical medication and antibiotics until she met Dr. Brent Schillinger. She was fascinated by his hands-on specialized acne treatments that finally brought about a positive change in her skin. This fateful meeting began her journey into the world of esthetics. Ann went on to work for the PGA Spa The Florida Center of Cosmetic Surgery and to serve as Cosmetic Director for the Austin Plastic Surgery Center while maintaining an esthetics studio in her home. Developing a product line,"Citrus Ginger Hand Wash 8 oz Gel<p>About Skin By Ann Webb Anns passion for developing optimal skin care began at an early age. Her own struggles with cystic acne were the driving force behind her passion for finding a solution to heal and develop beautiful skin. Ann traveled far beyond her small town of Gueydan, Louisiana to research and educate herself about every type of skin treatment available. She discovered that most treatment protocols were limited to a topical medication and antibiotics until she met Dr. Brent Schillinger. She was fascinated by his hands-on, specialized acne treatments that finally brought about a positive change in her skin. This fateful meeting began her journey into the world of esthetics. Ann went on to work for the PGA Spa, The Florida Center of Cosmetic Surgery, and to serve as Cosmetic Director for the Austin Plastic Surgery Center while maintaining an esthetics studio in her home. Developing a product line came about when she recognized a need for affordable, clean products for her local esthetics clients. She had already contributed to the development of two other product lines, and was ready to put more than 10 years of research and labor into a line of her own. Ann envisioned products that would be affordable, simple to use, and contain the best pharmaceutical-grade ingredients available. She turned to her best friend, Joanna Marceaux, who had worked for more than 8 years as a business development specialist for guidance. With Joannas help, Skin By Ann Webb was born. As life-long friends, Ann and Joanna have established a successful business partnership and have grown Skin By Ann Webb together Ann and Joanna continue to direct the Skin By Ann Webb product line nationwide. Anns true passion still lies in her own treatment spa located in Austin, Texas, where she combines more than 15 years of research and hands-on training with her own protocols for treating skin. When Ann is not in her clinic she spends quality time with her boys.</p><br><p><b>Other Ingredients</b>: Ingredients: Certified Organic Aloe Barbadensis Leaf Extract, TEA-Lauryl Sulfate, Acrylates/Palmeth-25 Acrylate Copolymer, Glycerin, Cocamidopropyl Betaine, Polysorbate 20, Symphytum Officinale (Comfrey) Rhizome/Root Extract, Anthemis Nobilis (Chamomile) Flower Extract, Camellia Sinensis (Green Tea) Leaf Extract, Camellia Sinensis (White Tea) Leaf Extract, Hamamelis Virginiana (Witch Hazel), Cocos Nucifera (Coconut) Oil, Citrus Medica Limonum (Lemon) Peel Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Zingiber Officinale (Ginger) Root Extract, Citrus Aurantifolia (Lime) Peel Extract, Mentha Piperita (Peppermint) Leaf Extract, Citrus Tangerina (Tangerine) Peel Extract, Vanilla Planifolia Fruit Extract, Tocopheryl Acetate (Vitamin E), Sodium Methyl Cocoyl Taurate, Decyl Glucoside, Mica, Phenoxyethanol, Caprylyl Glycol, Sorbic Acid, Sodium Hydroxide. Preservatives: Phenoxyethanol, Caprylyl Glycol, Sorbic Acid. For external use only. Store in a cool, dry place.</p><p><b>Warnings</b>: Keep out of reach of children. As with all dietary supplements, consult your healthcare professional before use. See product label for more information. </p>",None,,1470744781438
45017795,Palmer's Shea Butter Formula Lotion 8.50 oz (Pack of 3),<li>Free Shipping</li><li>Pack of 3</li>,"<li><b>Pack of 3</b> for the UPC: 010181051807</li> <br/> <br/> Proven formula. Extraordinary results. <br/> Skin Lotion <br/> E.T. Browne <br/> Active Ingredients: <br/> Water (Aqua); Mineral Oil (Paraffinum Liquidum); Butyrospermum Parkii (Shea Butter)*; Stearic Acid; Isopropyl Myristate; Propylene Glycol; Cetyl Alcohol; Triethanolamine; Carbomer 940; PEG-40 Stearate; Fragrance (Parfum); Methylparaben; Diazolidinyl Urea; Tetrasodium EDTA; Tocopheryl Acetate; Benzyl Salicylate; Citranelol; Hexyl Cinnamil Aldehyde; Linalool; Propylparaben; Caramel; *Certified Organic Shea Butter <br/> Uses:<br/> Moisturize and nourish your skin naturally with Organic Shea Butter. This rich, emollient lotion penetrates deep into your skin to combat dryness and improve elasticity. Skin feels satiny soft and maintains a smooth, natural glow. The addition of Vitamin E, a natural anti-oxidant, provides further moisturizing benefits. This product not tested on animals.",None,,1476886497712
